,DrugBank_id,Drug_ATC,Drug_name,Tipo,Gene_name,Accion,Prioridad
417881,DB04067,,4-hydroxybenzyl coenzyme A,target,,,1.0
417882,DB04068,,"2',3'-dideoxy-3'-fluoro-urididine-5'-diphosphate",target,NME1,,1.0
417883,DB04069,,"5,6-Dihydro-Benzo[H]Cinnolin-3-Ylamine",target,DAPK1,,1.0
417884,DB04070,,6-Deoxyerythronolide B,target,eryF,,1.0
417885,DB04070,,6-Deoxyerythronolide B,enzyme,CYP3A4,inhibitor,1.0
417886,DB04071,,Cpad,target,ADH1C,,1.0
417887,DB04072,,Alpha-Methylisocitric Acid,target,ACO2,,1.0
417888,DB04073,,N-{3-[4-(3-amino-propyl)-piperazin-1-yl]-propyl}-3-nitro-5-(galactopyranosyl)-beta-benzamide,target,ctxB,,1.0
417889,DB04074,,alpha-Ketoisovalerate,target,BCAT2,,1.0
417890,DB04074,,alpha-Ketoisovalerate,target,panB,,1.0
